Status,Key,Value,Description,Notes,Key_Category ,Service,Entity_Type,Entity_Name,Item_Type,Working_Notes
Live,BIRTH_BLOCK,5207469 Linked_ID 0x021A98905F9d3C47BCC5D823ceC6b03DaD3Efd974693731   Linked_ID: 0x031d7ad0D660B81f1a7e09418521bAB48DD999d0,Block ID for first ERC20 Contract Instantiation,-,CONFIG_DATA,BI_SERVICE,ALL,ALL,TABLE_COLUMN,-
Clarify,BUNDLE_ID,com.fourdotzero.walletX,???,-,ENV_VAR,PAYMENT_SERVICE ,WALLET_PROVIDER,ALL,Name,-
Clarify,BUSINESS_INTEL PREFIX,bi,bi.{DOMAIN_NAME},-,ENV_VAR,ALL,ALL,ALL,URL,-
Live,CHROME_CLIENT_ID,In AWS Secrets,Mobile application build and deploys Credentials ,-,ENV_VAR,MOBILE,WALLET_PROVIDER,ALL,SECRET,-
Live,CHROME_CLIENT_SECRET,In AWS Secrets,Mobile application build and deploys Credentials ,-,ENV_VAR,MOBILE,WALLET_PROVIDER,ALL,SECRET,-
Live,CHROME_PNPD_APP_ID,In AWS Secrets,Mobile application build and deploys Credentials ,-,ENV_VAR,MOBILE,WALLET_PROVIDER,ALL,SECRET,-
Live,CHROME_REFRESH_TOKEN,In AWS Secrets,Mobile application build and deploys Credentials ,-,ENV_VAR,MOBILE,WALLET_PROVIDER,ALL,SECRET,-
Live,CHROME_WEST_APP_ID,In AWS Secrets,Mobile application build and deploys Credentials ,-,ENV_VAR,MOBILE,WALLET_PROVIDER,ALL,SECRET,-
Live,CONFIRMATION_TABLE_NAME,${VPC-STAGE}-640_dbt_Confirmation_wp,DynamoDb table,-,ENV_VAR,wp-1-envmt,WALLET_PROVIDER,ALL,TABLE,-
Planned,CONTRACT_DECIMALS ,6,Number of Decimals the ERC20 contract currency supports,-,CONFIG_DATA,ALL,ALL,ALL,TABLE_COLUMN,-
Live,CONTRACT_ID,0x021A98905F9d3C47BCC5D823ceC6b03DaD3Efd970x031d7ad0D660B81f1a7e09418521bAB48DD999d0 BIRTH_BLOCK: 4693731,Id of ERC 20 Contract,-,CONFIG_DATA,PAYMENT_SERVICE ,ALL,ALL,ID,-
